ID,Kaltmiete,Wohnfläche,Zimmer,Antwortrate,Antwortzeit,Letzter Login,Objektart,Nebenkosten,Kaution,Stockwerk,Außenausstattung,Innenausstattung,Fußboden,Heizung,Merkmale,Wohnung,Stadt,Stadtteile,Kaltmiete (max.),Wohnfläche (min.),Zimmer (min.),img_url,Einzugsdatum,PLZ
187777,608 €,61 m²,"2,5",80 %,< 12 Stunden,05.04.2024,Wohnung,200€,1.800€,3,"Balkon/Terrasse, Garage/Stellplatz, Garten/-mitnutzung","Einbauküche, Aufzug, Keller, (Teil-) Möbliert, Badewanne",nichts angegeben,nichts angegeben,Haustiere erlaubt,Etagenwohnung,Berlin,Friedrichsfelde,500€,30m²,1,https://www.tauschwohnung.com/uploads/housings/187777/medium/0e417bc5159a1d1ffad64bf78f56c0f9d89f704d.jpg,,
152485,802 €,67 m²,2,47 %,< 2 Tage,05.04.2024,Wohnung,234€,2.406€,3,Balkon/Terrasse,"Einbauküche, Aufzug, Keller","Fliesen, Holz/Dielen",nichts angegeben,Haustiere erlaubt,nichts angegeben,Berlin,Friedrichshain,1.500€,50m²,"2,5",https://www.tauschwohnung.com/uploads/housings/152485/medium/63d66964f3228c7e7c0f89aed9ac042df3368149.jpg,01.05.2024,
199967,1180 €,109 m²,3,50 %,< 12 Stunden,04.04.2024,Wohnung,200€,,4,"Balkon/Terrasse, Garten/-mitnutzung","Einbauküche, Keller, Badewanne",Holz/Dielen,Zentralheizung,Haustiere erlaubt,Dachgeschoss,Berlin,15 ausgewählt,700€,55m²,2,https://www.tauschwohnung.com/uploads/housings/199967/medium/9a72bc138832408923ec286be67f5754f47f80c6.jpg,31.07.2024,
202858,800 €,74 m²,2,n. a.,n. a.,04.04.2024,Wohnung,200€,,4,Balkon/Terrasse,"Einbauküche, Keller","Parkett, Fliesen",Zentralheizung,Haustiere erlaubt,Dachgeschoss,Berlin,8 ausgewählt,1.600€,90m²,3,https://www.tauschwohnung.com/uploads/housings/202858/medium/f757492f5b04968b8425ee2bbec0c4b6b65d8132.jpg,15.05.2024,
193248,670 €,75 m²,2,83 %,< 24 Stunden,04.04.2024,Wohnung,136€,2.010€,1,"Balkon/Terrasse, Garten/-mitnutzung","Einbauküche, Keller, Badewanne","Parkett, Fliesen, Holz/Dielen",Zentralheizung,Haustiere erlaubt,Etagenwohnung,Berlin,7 ausgewählt,1.300€,90m²,3,https://www.tauschwohnung.com/uploads/housings/193248/medium/48de0d6ed893561bbbed16350de714047b5263e7.jpg,,
196730,750 €,60 m²,2,50 %,< 24 Stunden,28.03.2024,Wohnung,270€,2.250€,0,"Balkon/Terrasse, Garten/-mitnutzung",Keller,Laminat,nichts angegeben,nichts angegeben,Hochparterre,Berlin,22 ausgewählt,1.000€,60m²,2,https://www.tauschwohnung.com/uploads/housings/196730/medium/16b1ea8f47d002c8ce26df1a8e5fedf635020f9d.jpg,,
170842,960 €,75 m²,3,100 %,< 12 Stunden,03.04.2024,Wohnung,230€,,4,nichts angegeben,Einbauküche,Laminat,Etagenheizung,nichts angegeben,Etagenwohnung,Berlin,Prenzlauer Berg,1.500€,52m²,2,https://www.tauschwohnung.com/uploads/housings/170842/medium/6d5a2037c4a57c7bdccaad0afe25a94ef531da5a.jpg,01.06.2024,
184443,980 €,110 m²,3,4 %,< 1 Woche,20.03.2024,Wohnung,115€,,3,nichts angegeben,"Keller, Badewanne",Holz/Dielen,Etagenheizung,nichts angegeben,Etagenwohnung,Berlin,4 ausgewählt,750€,50m²,2,https://www.tauschwohnung.com/uploads/housings/184443/medium/b14dc045393a1b818b26534e533e72f518257d7d.jpg,,
164299,450 €,55 m²,2,98 %,< 2 Tage,03.04.2024,Wohnung,140€,1.575€,3,"Balkon/Terrasse, Garten/-mitnutzung","Aufzug, Keller, Badewanne","Parkett, Stein",nichts angegeben,nichts angegeben,nichts angegeben,Berlin,4 ausgewählt,1.000€,80m²,3,https://www.tauschwohnung.com/uploads/housings/164299/medium/f3066824cfd9fb67d654cb77bd9bd373fb8a7289.jpg,01.05.2024,
191788,514 €,65 m²,2,88 %,< 2 Tage,05.04.2024,Wohnung,246€,,2,Balkon/Terrasse,"Einbauküche, Keller, Badewanne","Fliesen, Holz/Dielen",nichts angegeben,Haustiere erlaubt,Etagenwohnung,Freiburg im Breisgau,177 ausgewählt,1.600€,85m²,"2,5",https://www.tauschwohnung.com/uploads/housings/191788/medium/29aefbbcb23e662ad745fdc494002bed757963f3.jpg,01.04.2024,
169497,1450 €,105 m²,"2,5",27 %,< 2 Tage,29.03.2024,Wohnung,400€,4.650€,3,"Balkon/Terrasse, Garage/Stellplatz","Einbauküche, Gäste-WC, Keller, Badewanne","Laminat, Fliesen",Zentralheizung,Energieausweis,Maisonette,Berlin,13 ausgewählt,1.600€,60m²,"2,5",https://www.tauschwohnung.com/uploads/housings/169497/medium/918ea55d270a8305062469801d7937a8237cdf5c.jpg,01.12.2023,
163560,403 €,48 m²,2,100 %,< 12 Stunden,03.04.2024,Wohnung,185€,,4,"Balkon/Terrasse, Garage/Stellplatz","Einbauküche, Aufzug, Keller, Badewanne","Laminat, Fliesen",Zentralheizung,Energieausweis,Etagenwohnung,Berlin,keine angegeben,1.400€,70m²,3,https://www.tauschwohnung.com/uploads/housings/163560/medium/80dc520c09b21a58e5d1523aa03de124c916cdf7.png,,
186104,400 €,53 m²,"1,5",100 %,< 4 Stunden,03.04.2024,Wohnung,155€,1.200€,3,Balkon/Terrasse,"Einbauküche, Aufzug, Keller, Badewanne","Parkett, Laminat, Fliesen, Stein, Holz/Dielen, Terracotta",nichts angegeben,Haustiere erlaubt,Etagenwohnung,Berlin,13 ausgewählt,1.600€,80m²,"3,5",https://www.tauschwohnung.com/uploads/housings/186104/medium/5bfc24e585014001ec2e95485dbbe68b17714400.jpg,,
191461,670 €,77 m²,"2,5",100 %,< 12 Stunden,04.04.2024,Wohnung,246€,2.010€,2,Balkon/Terrasse,"Einbauküche, Keller, Badewanne","Laminat, Fliesen",nichts angegeben,nichts angegeben,nichts angegeben,Berlin,9 ausgewählt,650€,35m²,1,https://www.tauschwohnung.com/uploads/housings/191461/medium/0996111b1103cf328563fcb660544eb2e1d23c27.jpg,01.06.2024,
190536,740 €,71 m²,2,54 %,< 2 Tage,05.04.2024,Wohnung,160€,2.100€,5,Balkon/Terrasse,"Einbauküche, Keller, Badewanne","Parkett, Fliesen",Zentralheizung,nichts angegeben,Dachgeschoss,Berlin,keine angegeben,2.000€,100m²,3,https://www.tauschwohnung.com/uploads/housings/190536/medium/803bb3916a2e2b3393d3a11cffff5f63eecbecfa.jpg,,
139611,930 €,75 m²,"2,5",100 %,< 1 Monat,31.03.2024,Wohnung,270€,2.790€,3,Balkon/Terrasse,"Einbauküche, Aufzug, Keller, Fußbodenheizung",nichts angegeben,Etagenheizung,Energieausweis,Etagenwohnung,Berlin,keine angegeben,2.000€,120m²,4,https://www.tauschwohnung.com/uploads/housings/139611/medium/c34371bb66c33294f6885d4920e277f88abc22bc.jpg,,
188954,977 €,140 m²,3,82 %,< 1 Woche,27.01.2024,Wohnung,542€,2.932€,0,"Balkon/Terrasse, Garten/-mitnutzung","Gäste-WC, Keller, Badewanne",Holz/Dielen,Zentralheizung,Wohnungsberechtigungsschein,Etagenwohnung,Berlin,8 ausgewählt,1.500€,60m²,2,https://www.tauschwohnung.com/uploads/housings/188954/medium/a14d14fce7ae13826abacd5fddbb013ba20e0a57.jpg,01.10.2024,
183795,500 €,80 m²,3,43 %,< 4 Tage,04.04.2024,Wohnung,200€,1.200€,1,Garage/Stellplatz,"Keller, Badewanne",Laminat,Zentralheizung,"Haustiere erlaubt, Wohnungsberechtigungsschein",Etagenwohnung,Berlin,Kreuzberg,550€,65m²,"2,5",https://www.tauschwohnung.com/uploads/housings/183795/medium/05349230be96f4fee5fc8a8adc796880e2d4146a.jpg,,
134006,413 €,55 m²,2,100 %,< 30 Minuten,03.04.2024,Wohnung,175€,1.239€,1,Balkon/Terrasse,"Einbauküche, Keller, Badewanne","Laminat, Fliesen",Zentralheizung,Haustiere erlaubt,nichts angegeben,Berlin,Neukölln,1.500€,95m²,"3,5",https://www.tauschwohnung.com/uploads/housings/134006/medium/617992bb566213ecefc7428aac52ff5570a827b6.jpg,,
178759,360 €,36 m²,1,83 %,< 4 Tage,27.02.2024,Wohnung,140€,900€,0,Balkon/Terrasse,"Einbauküche, Aufzug, Keller, (Teil-) Möbliert, Badewanne",nichts angegeben,nichts angegeben,nichts angegeben,nichts angegeben,Berlin,keine angegeben,1.200€,58m²,2,https://www.tauschwohnung.com/uploads/housings/178759/medium/00a56eeffe4218fa9e86eca128606082ae39c36d.jpg,,
182836,2080 €,126 m²,4,100 %,< 4 Tage,05.04.2024,Wohnung,470€,6.000€,3,Balkon/Terrasse,"Einbauküche, Aufzug, Gäste-WC, Keller, Badewanne",Parkett,nichts angegeben,"Haustiere erlaubt, Ebenerdige Dusche",Maisonette,Berlin,9 ausgewählt,1.500€,80m²,"2,5",https://www.tauschwohnung.com/uploads/housings/182836/medium/22f510be2dd93e35a914451e7658e4a46de488df.jpg,,
172614,300 €,35 m²,1,75 %,< 2 Tage,03.04.2024,Wohnung,198€,900€,1,"Balkon/Terrasse, Garage/Stellplatz","Einbauküche, Aufzug, Keller, Badewanne",Laminat,Zentralheizung,nichts angegeben,nichts angegeben,Berlin,10 ausgewählt,900€,50m²,"1,5",https://www.tauschwohnung.com/uploads/housings/172614/medium/e31a7e53e0d33deb82bcb49db015f0c458413566.jpg,,
170238,412 €,56 m²,2,100 %,< 12 Stunden,03.04.2024,Wohnung,145€,1.200€,2,"Balkon/Terrasse, Garten/-mitnutzung","Einbauküche, Keller, Dachboden, (Teil-) Möbliert, Badewanne",Laminat,Etagenheizung,"Haustiere erlaubt, Energieausweis",Etagenwohnung,Berlin,31 ausgewählt,700€,1m²,2,https://www.tauschwohnung.com/uploads/housings/170238/medium/11f0d33d23d5a9bd352a0b4013ae9f7fa03794c3.jpg,,
174445,720 €,60 m²,2,100 %,< 2 Tage,02.04.2024,Wohnung,260€,2.610€,1,"Balkon/Terrasse, Garage/Stellplatz","Einbauküche, Aufzug, Keller, Fußbodenheizung, Badewanne",Fliesen,nichts angegeben,"Haustiere erlaubt, Stufenloser Zugang",Etagenwohnung,Berlin,keine angegeben,1.500€,75m²,2,https://www.tauschwohnung.com/uploads/housings/174445/medium/a9432ac9abe314e3dae41ade354f8c9b199d7803.jpg,,
52050,1077 €,78 m²,"2,5",91 %,< 1 Monat,24.03.2024,Wohnung,100€,3.231€,2,nichts angegeben,"Einbauküche, Keller, Dachboden, Badewanne",Holz/Dielen,Etagenheizung,nichts angegeben,nichts angegeben,Berlin,keine angegeben,1.600€,95m²,"3,5",https://www.tauschwohnung.com/uploads/housings/52050/medium/a715597a5ab619b66fd011bab0519b47bfdcda7f.jpg,,
150599,726 €,83 m²,3,100 %,< 12 Stunden,03.04.2024,Wohnung,235€,2.178€,4,Balkon/Terrasse,"Einbauküche, Badewanne","Fliesen, Holz/Dielen",Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,4 ausgewählt,1.350€,90m²,3,https://www.tauschwohnung.com/uploads/housings/150599/medium/fa476d0f85725d8e078d395e0fb5280b17aa4a98.jpg,,
173396,324 €,50 m²,2,80 %,< 2 Stunden,07.03.2024,Wohnung,95€,95€,5,"Balkon/Terrasse, Garage/Stellplatz","Aufzug, Keller, Badewanne",Holz/Dielen,nichts angegeben,Haustiere erlaubt,nichts angegeben,Berlin,keine angegeben,750€,60m²,3,https://www.tauschwohnung.com/uploads/housings/173396/medium/abadc7cd247dbd390bd439c804556e3d597646d4.jpg,,
158609,300 €,32 m²,1,42 %,< 1 Woche,02.04.2024,Wohnung,62€,,2,nichts angegeben,"Keller, Badewanne",Holz/Dielen,nichts angegeben,nichts angegeben,Etagenwohnung,Berlin,keine angegeben,1.400€,45m²,"1,5",https://www.tauschwohnung.com/uploads/housings/158609/medium/d8f62c3d180b3cb1d7919bed49a8c188f1f1e5e3.jpg,01.04.2024,
183531,600 €,73 m²,2,95 %,< 1 Woche,05.04.2024,Wohnung,260€,,1,Balkon/Terrasse,"Einbauküche, Keller, Badewanne","Laminat, Fliesen",Zentralheizung,nichts angegeben,nichts angegeben,Berlin,Prenzlauer Berg,1.000€,60m²,2,https://www.tauschwohnung.com/uploads/housings/183531/medium/aa55ebc8809a0db6e329b2f7ab3425f1ff84ffc7.jpg,,
183156,1200 €,73 m²,2,100 %,< 2 Wochen,13.03.2024,Wohnung,120€,3.600€,1,Balkon/Terrasse,"Einbauküche, (Teil-) Möbliert, Badewanne","Parkett, Laminat, Fliesen",Etagenheizung,nichts angegeben,Etagenwohnung,Hamburg,keine angegeben,1.350€,55m²,2,https://www.tauschwohnung.com/uploads/housings/183156/medium/9b70ef04fc7e5d9cc2504558a088ad72e61fab12.jpg,30.03.2024,
183356,683 €,71 m²,2,88 %,< 2 Tage,05.04.2024,Wohnung,301€,1.902€,3,nichts angegeben,"Einbauküche, Badewanne","Parkett, Fliesen, Holz/Dielen, PVC/Linoleum",Zentralheizung,"Haustiere erlaubt, Energieausweis",nichts angegeben,Berlin,8 ausgewählt,650€,45m²,"1,5",https://www.tauschwohnung.com/uploads/housings/183356/medium/d4e3d252b0b8f5e3de25c9decd34b745e76a22a7.jpg,01.02.2024,
180246,636 €,63 m²,3,0 %,n. a.,01.04.2024,Wohnung,300€,1.900€,1,"Balkon/Terrasse, Garten/-mitnutzung","Einbauküche, Keller",Holz/Dielen,Zentralheizung,Haustiere erlaubt,Etagenwohnung,Berlin,Prenzlauer Berg,1.500€,95m²,4,https://www.tauschwohnung.com/uploads/housings/180246/medium/650f63ca95bada21a81f65489bd4f7b348994ee1.jpg,,
164339,950 €,69 m²,2,100 %,< 15 Minuten,05.04.2024,Wohnung,150€,,5,Balkon/Terrasse,"Einbauküche, Aufzug, Badewanne",Holz/Dielen,nichts angegeben,nichts angegeben,nichts angegeben,Berlin,keine angegeben,2.500€,90m²,3,https://www.tauschwohnung.com/uploads/housings/164339/medium/dd92d46c2667144362cb73e50df839d85bf6cae6.jpg,,
139271,1540 €,103 m²,3,90 %,< 2 Wochen,05.04.2024,Wohnung,465€,,4,Balkon/Terrasse,"Einbauküche, Aufzug, Badewanne",Holz/Dielen,Zentralheizung,Haustiere erlaubt,Etagenwohnung,Berlin,5 ausgewählt,800€,45m²,2,https://www.tauschwohnung.com/uploads/housings/139271/medium/9d251f1c576f7c27df82e2c7d2e1587a2e0e6f01.jpg,01.04.2024,
198757,900 €,85 m²,2,n. a.,n. a.,01.04.2024,Wohnung,200€,3.000€,2,Balkon/Terrasse,"Einbauküche, Aufzug, Gäste-WC, Keller, Fußbodenheizung, (Teil-) Möbliert","Parkett, Fliesen",Zentralheizung,"Haustiere erlaubt, Ebenerdige Dusche",Terrassenwohnung,Berlin,"Charlottenburg, Wilmersdorf",2.700€,70m²,3,https://www.tauschwohnung.com/uploads/housings/198757/medium/1676f3e7f7537da57061ceaec232c6036006da1b.jpg,,
149482,945 €,109 m²,"3,5",100 %,< 12 Stunden,05.04.2024,Wohnung,190€,2.850€,3,Balkon/Terrasse,Keller,nichts angegeben,Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,17 ausgewählt,550€,60m²,2,https://www.tauschwohnung.com/uploads/housings/149482/medium/4a1ec35f4d01c0277ba65310848c6c1dfdd8b303.jpg,01.10.2023,
32979,781 €,57 m²,2,57 %,< 4 Tage,24.03.2024,Wohnung,229€,2.343€,1,Balkon/Terrasse,"Einbauküche, Aufzug, Keller, Badewanne",Parkett,Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,keine angegeben,1.950€,75m²,3,https://www.tauschwohnung.com/uploads/housings/32979/medium/9c8d9f91dd723b69e995241f01c484f967ed35e0.jpg,,
23728,700 €,58 m²,2,97 %,< 1 Monat,02.04.2024,Wohnung,280€,980€,1,Balkon/Terrasse,"Keller, Dachboden, Badewanne",Laminat,Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,keine angegeben,1.400€,90m²,3,https://www.tauschwohnung.com/uploads/housings/23728/medium/867c7cc65eafc50e650e65a1742aeb5911428bb8.jpeg,,
174262,760 €,58 m²,"2,5",0 %,n. a.,04.02.2024,Wohnung,190€,2.000€,4,"Balkon/Terrasse, Garage/Stellplatz, Garten/-mitnutzung","Einbauküche, Aufzug, Keller, Fußbodenheizung, (Teil-) Möbliert, Badewanne","Parkett, Fliesen",Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,keine angegeben,1.000€,79m²,3,https://www.tauschwohnung.com/uploads/housings/174262/medium/8b9a6bbc86d9802253eeec3a9596b09403e66eb9.png,,
197884,746 €,59 m²,2,n. a.,n. a.,04.04.2024,Wohnung,184€,,0,Balkon/Terrasse,"Einbauküche, Badewanne",Laminat,nichts angegeben,Haustiere erlaubt,Hochparterre,Berlin,23 ausgewählt,1.000€,70m²,3,https://www.tauschwohnung.com/uploads/housings/197884/medium/6f0bfdb5c04b8e202d71e4e522fe97e0cb50fd14.jpg,01.05.2024,
147327,358 €,55 m²,2,82 %,< 2 Tage,18.03.2024,Wohnung,235€,,1,nichts angegeben,"Einbauküche, Aufzug, Keller, Badewanne","Laminat, Fliesen",Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,"Mitte, Moabit, Tiergarten",1.100€,65m²,"2,5",https://www.tauschwohnung.com/uploads/housings/147327/medium/f9ff783eccc6e540b975df2b93b205a8d6826403.jpg,,
76310,736 €,61 m²,2,82 %,über 1 Monat,04.04.2024,Wohnung,164€,1.200€,1,nichts angegeben,"Einbauküche, (Teil-) Möbliert, Badewanne",Holz/Dielen,Zentralheizung,Haustiere erlaubt,Etagenwohnung,Berlin,5 ausgewählt,700€,50m²,"1,5",https://www.tauschwohnung.com/uploads/housings/76310/medium/af70ac0c2f1035141b058e9352b251d318167653.jpg,,
176560,3000 €,240 m²,6,71 %,< 1 Woche,01.02.2024,Wohnung,500€,9.000€,1,"Balkon/Terrasse, Garten/-mitnutzung","Einbauküche, Gäste-WC, Keller, Badewanne","Fliesen, Holz/Dielen",Zentralheizung,nichts angegeben,Hochparterre,Berlin,12 ausgewählt,3.000€,200m²,5,https://www.tauschwohnung.com/uploads/housings/176560/medium/9ee7e7e4b082318cf207ef1666a81ef07766c5e6.jpg,01.06.2024,
201072,1300 €,80 m²,2,0 %,n. a.,28.03.2024,Wohnung,250€,3.600€,3,nichts angegeben,"Einbauküche, Keller, (Teil-) Möbliert",Holz/Dielen,Zentralheizung,nichts angegeben,Etagenwohnung,Berlin,4 ausgewählt,2.000€,100m²,3,https://www.tauschwohnung.com/uploads/housings/201072/medium/5ebcb2a636c61ff3b35d1a19f93d7ac9a5cba070.jpg,01.08.2024,
137347,1800 €,95 m²,3,83 %,< 1 Woche,11.03.2024,Wohnung,300€,2.000€,5,Balkon/Terrasse,"Einbauküche, Aufzug, Gäste-WC, Keller, (Teil-) Möbliert, Badewanne","Parkett, Fliesen",Zentralheizung,"Haustiere erlaubt, Ebenerdige Dusche",Dachgeschoss,Berlin,keine angegeben,3.000€,120m²,4,https://www.tauschwohnung.com/uploads/housings/137347/medium/67ccf41e768d75b3393e8ccbb75d5f7bacc9c165.jpg,,
138705,1072 €,107 m²,4,92 %,< 1 Monat,03.04.2024,Wohnung,180€,3.200€,7,"Balkon/Terrasse, Garage/Stellplatz","Einbauküche, Aufzug, Gäste-WC, Keller, Badewanne",PVC/Linoleum,Zentralheizung,"Haustiere erlaubt, Energieausweis, Stufenloser Zugang",Dachgeschoss,Berlin,Tiergarten,600€,70m²,3,https://www.tauschwohnung.com/uploads/housings/138705/medium/ee4ca970665bcae6664fdf79dfe8bfc97eba7875.jpg,,
131154,1800 €,101 m²,"3,5",6 %,< 15 Minuten,28.03.2024,Wohnung,450€,5.000€,1,nichts angegeben,"Einbauküche, Aufzug, Keller, Badewanne",Parkett,Etagenheizung,Haustiere erlaubt,nichts angegeben,Berlin,"Mitte, Prenzlauer Berg",3.700€,90m²,"2,5",https://www.tauschwohnung.com/uploads/housings/131154/medium/c9e9edcbfab6b7c7a6aa1f5643dcb4a4261f93e8.jpg,01.05.2023,
191360,450 €,55 m²,2,n. a.,n. a.,05.04.2024,Wohnung,200€,,1,"Balkon/Terrasse, Garten/-mitnutzung","Einbauküche, Aufzug, Keller, Badewanne",Laminat,Zentralheizung,nichts angegeben,nichts angegeben,Berlin,keine angegeben,1.500€,90m²,"3,5",https://www.tauschwohnung.com/uploads/housings/191360/medium/c40b0880f34da17f220c1ae6d61846167eeee6a5.jpg,,
